circuit_order,circuit_inventory_id,pair_id,pair_inventory_row,i,j,regime,num_qubits,num_clbits,depth_logical,name
0,zz4_H0_zz4_pair_0000,zz4_pair_0000,0,0,0,H0,4,4,3,zz4_H0_pair_zz4_pair_0000_circuit_zz4_H0_zz4_pair_0000
1,zz4_H0_zz4_pair_0001,zz4_pair_0001,1,0,1,H0,4,4,3,zz4_H0_pair_zz4_pair_0001_circuit_zz4_H0_zz4_pair_0001
2,zz4_H0_zz4_pair_0002,zz4_pair_0002,2,0,2,H0,4,4,3,zz4_H0_pair_zz4_pair_0002_circuit_zz4_H0_zz4_pair_0002
3,zz4_H0_zz4_pair_0003,zz4_pair_0003,3,0,3,H0,4,4,3,zz4_H0_pair_zz4_pair_0003_circuit_zz4_H0_zz4_pair_0003
4,zz4_H0_zz4_pair_0004,zz4_pair_0004,4,0,4,H0,4,4,3,zz4_H0_pair_zz4_pair_0004_circuit_zz4_H0_zz4_pair_0004
5,zz4_H0_zz4_pair_0005,zz4_pair_0005,5,0,5,H0,4,4,3,zz4_H0_pair_zz4_pair_0005_circuit_zz4_H0_zz4_pair_0005
6,zz4_H0_zz4_pair_0006,zz4_pair_0006,6,0,6,H0,4,4,3,zz4_H0_pair_zz4_pair_0006_circuit_zz4_H0_zz4_pair_0006
7,zz4_H0_zz4_pair_0007,zz4_pair_0007,7,0,7,H0,4,4,3,zz4_H0_pair_zz4_pair_0007_circuit_zz4_H0_zz4_pair_0007
8,zz4_H0_zz4_pair_0008,zz4_pair_0008,8,0,8,H0,4,4,3,zz4_H0_pair_zz4_pair_0008_circuit_zz4_H0_zz4_pair_0008
9,zz4_H0_zz4_pair_0009,zz4_pair_0009,9,0,9,H0,4,4,3,zz4_H0_pair_zz4_pair_0009_circuit_zz4_H0_zz4_pair_0009
10,zz4_H0_zz4_pair_0010,zz4_pair_0010,10,0,10,H0,4,4,3,zz4_H0_pair_zz4_pair_0010_circuit_zz4_H0_zz4_pair_0010
11,zz4_H0_zz4_pair_0011,zz4_pair_0011,11,0,11,H0,4,4,3,zz4_H0_pair_zz4_pair_0011_circuit_zz4_H0_zz4_pair_0011
12,zz4_H0_zz4_pair_0012,zz4_pair_0012,12,0,12,H0,4,4,3,zz4_H0_pair_zz4_pair_0012_circuit_zz4_H0_zz4_pair_0012
13,zz4_H0_zz4_pair_0013,zz4_pair_0013,13,0,13,H0,4,4,3,zz4_H0_pair_zz4_pair_0013_circuit_zz4_H0_zz4_pair_0013
14,zz4_H0_zz4_pair_0014,zz4_pair_0014,14,0,14,H0,4,4,3,zz4_H0_pair_zz4_pair_0014_circuit_zz4_H0_zz4_pair_0014
15,zz4_H0_zz4_pair_0015,zz4_pair_0015,15,0,15,H0,4,4,3,zz4_H0_pair_zz4_pair_0015_circuit_zz4_H0_zz4_pair_0015
16,zz4_H0_zz4_pair_0016,zz4_pair_0016,16,0,16,H0,4,4,3,zz4_H0_pair_zz4_pair_0016_circuit_zz4_H0_zz4_pair_0016
17,zz4_H0_zz4_pair_0017,zz4_pair_0017,17,0,17,H0,4,4,3,zz4_H0_pair_zz4_pair_0017_circuit_zz4_H0_zz4_pair_0017
18,zz4_H0_zz4_pair_0018,zz4_pair_0018,18,0,18,H0,4,4,3,zz4_H0_pair_zz4_pair_0018_circuit_zz4_H0_zz4_pair_0018
19,zz4_H0_zz4_pair_0019,zz4_pair_0019,19,0,19,H0,4,4,3,zz4_H0_pair_zz4_pair_0019_circuit_zz4_H0_zz4_pair_0019
20,zz4_H0_zz4_pair_0020,zz4_pair_0020,20,0,20,H0,4,4,3,zz4_H0_pair_zz4_pair_0020_circuit_zz4_H0_zz4_pair_0020
21,zz4_H0_zz4_pair_0021,zz4_pair_0021,21,0,21,H0,4,4,3,zz4_H0_pair_zz4_pair_0021_circuit_zz4_H0_zz4_pair_0021
22,zz4_H0_zz4_pair_0022,zz4_pair_0022,22,0,22,H0,4,4,3,zz4_H0_pair_zz4_pair_0022_circuit_zz4_H0_zz4_pair_0022
23,zz4_H0_zz4_pair_0023,zz4_pair_0023,23,0,23,H0,4,4,3,zz4_H0_pair_zz4_pair_0023_circuit_zz4_H0_zz4_pair_0023
24,zz4_H0_zz4_pair_0024,zz4_pair_0024,24,1,1,H0,4,4,3,zz4_H0_pair_zz4_pair_0024_circuit_zz4_H0_zz4_pair_0024
25,zz4_H0_zz4_pair_0025,zz4_pair_0025,25,1,2,H0,4,4,3,zz4_H0_pair_zz4_pair_0025_circuit_zz4_H0_zz4_pair_0025
26,zz4_H0_zz4_pair_0026,zz4_pair_0026,26,1,3,H0,4,4,3,zz4_H0_pair_zz4_pair_0026_circuit_zz4_H0_zz4_pair_0026
27,zz4_H0_zz4_pair_0027,zz4_pair_0027,27,1,4,H0,4,4,3,zz4_H0_pair_zz4_pair_0027_circuit_zz4_H0_zz4_pair_0027
28,zz4_H0_zz4_pair_0028,zz4_pair_0028,28,1,5,H0,4,4,3,zz4_H0_pair_zz4_pair_0028_circuit_zz4_H0_zz4_pair_0028
29,zz4_H0_zz4_pair_0029,zz4_pair_0029,29,1,6,H0,4,4,3,zz4_H0_pair_zz4_pair_0029_circuit_zz4_H0_zz4_pair_0029
30,zz4_H0_zz4_pair_0030,zz4_pair_0030,30,1,7,H0,4,4,3,zz4_H0_pair_zz4_pair_0030_circuit_zz4_H0_zz4_pair_0030
31,zz4_H0_zz4_pair_0031,zz4_pair_0031,31,1,8,H0,4,4,3,zz4_H0_pair_zz4_pair_0031_circuit_zz4_H0_zz4_pair_0031
32,zz4_H0_zz4_pair_0032,zz4_pair_0032,32,1,9,H0,4,4,3,zz4_H0_pair_zz4_pair_0032_circuit_zz4_H0_zz4_pair_0032
33,zz4_H0_zz4_pair_0033,zz4_pair_0033,33,1,10,H0,4,4,3,zz4_H0_pair_zz4_pair_0033_circuit_zz4_H0_zz4_pair_0033
34,zz4_H0_zz4_pair_0034,zz4_pair_0034,34,1,11,H0,4,4,3,zz4_H0_pair_zz4_pair_0034_circuit_zz4_H0_zz4_pair_0034
35,zz4_H0_zz4_pair_0035,zz4_pair_0035,35,1,12,H0,4,4,3,zz4_H0_pair_zz4_pair_0035_circuit_zz4_H0_zz4_pair_0035
36,zz4_H0_zz4_pair_0036,zz4_pair_0036,36,1,13,H0,4,4,3,zz4_H0_pair_zz4_pair_0036_circuit_zz4_H0_zz4_pair_0036
37,zz4_H0_zz4_pair_0037,zz4_pair_0037,37,1,14,H0,4,4,3,zz4_H0_pair_zz4_pair_0037_circuit_zz4_H0_zz4_pair_0037
38,zz4_H0_zz4_pair_0038,zz4_pair_0038,38,1,15,H0,4,4,3,zz4_H0_pair_zz4_pair_0038_circuit_zz4_H0_zz4_pair_0038
39,zz4_H0_zz4_pair_0039,zz4_pair_0039,39,1,16,H0,4,4,3,zz4_H0_pair_zz4_pair_0039_circuit_zz4_H0_zz4_pair_0039
40,zz4_H0_zz4_pair_0040,zz4_pair_0040,40,1,17,H0,4,4,3,zz4_H0_pair_zz4_pair_0040_circuit_zz4_H0_zz4_pair_0040
41,zz4_H0_zz4_pair_0041,zz4_pair_0041,41,1,18,H0,4,4,3,zz4_H0_pair_zz4_pair_0041_circuit_zz4_H0_zz4_pair_0041
42,zz4_H0_zz4_pair_0042,zz4_pair_0042,42,1,19,H0,4,4,3,zz4_H0_pair_zz4_pair_0042_circuit_zz4_H0_zz4_pair_0042
43,zz4_H0_zz4_pair_0043,zz4_pair_0043,43,1,20,H0,4,4,3,zz4_H0_pair_zz4_pair_0043_circuit_zz4_H0_zz4_pair_0043
