analysis_block,metric,configuration,artifact_regime,point_estimate,jackknife_se,diagonal_policy,contrast,delta,jackknife_se_delta,z_descriptive,notes
reference,effective_rank,SV,SV,17.971891698723347,,statevector_native,,,,,Statevector reference effective rank.
reference,kta_centered,SV,SV,0.15851109235208113,,statevector_native,,,,,Statevector reference centered kernel-target alignment.
directed_vs_unique_offdiag_check,spearman,M0,H0,0.741297081842571,,offdiagonal_only,directed_minus_unique,0.0,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,pearson,M0,H0,0.8272527142734244,,offdiagonal_only,directed_minus_unique,1.1102230246251565e-16,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,mae,M0,H0,0.04903588514843187,,offdiagonal_only,directed_minus_unique,-6.938893903907228e-18,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,rmse,M0,H0,0.08777046763666438,,offdiagonal_only,directed_minus_unique,0.0,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,medae,M0,H0,0.02615354758561056,,offdiagonal_only,directed_minus_unique,0.0,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,maxae,M0,H0,0.5686656028808117,,offdiagonal_only,directed_minus_unique,0.0,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,offdiag_variance,M0,H0,0.005386539766002768,,offdiagonal_only,directed_minus_unique,0.0,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,spearman,M1,H1,0.7749509552911102,,offdiagonal_only,directed_minus_unique,1.1102230246251565e-16,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,pearson,M1,H1,0.8427741783413908,,offdiagonal_only,directed_minus_unique,-2.220446049250313e-16,,,Machine-precision equivalence check for symmetric kernels.
directed_vs_unique_offdiag_check,mae,M1,H1,0.04728950462019737,,offdiagonal_only,directed_minus_unique,0.0,,,Machine-precision equivalence check for symmetric kernels.
