compile_order,circuit_inventory_id,pair_id,regime,depth,two_qubit_count,num_qubits,ops
0,zz4_H0_zz4_pair_0000,zz4_pair_0000,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
1,zz4_H0_zz4_pair_0001,zz4_pair_0001,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
2,zz4_H0_zz4_pair_0002,zz4_pair_0002,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
3,zz4_H0_zz4_pair_0003,zz4_pair_0003,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
4,zz4_H0_zz4_pair_0004,zz4_pair_0004,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
5,zz4_H0_zz4_pair_0005,zz4_pair_0005,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
6,zz4_H0_zz4_pair_0006,zz4_pair_0006,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
7,zz4_H0_zz4_pair_0007,zz4_pair_0007,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
8,zz4_H0_zz4_pair_0008,zz4_pair_0008,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
9,zz4_H0_zz4_pair_0009,zz4_pair_0009,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
10,zz4_H0_zz4_pair_0010,zz4_pair_0010,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
11,zz4_H0_zz4_pair_0011,zz4_pair_0011,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
12,zz4_H0_zz4_pair_0012,zz4_pair_0012,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
13,zz4_H0_zz4_pair_0013,zz4_pair_0013,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
14,zz4_H0_zz4_pair_0014,zz4_pair_0014,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
15,zz4_H0_zz4_pair_0015,zz4_pair_0015,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
16,zz4_H0_zz4_pair_0016,zz4_pair_0016,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
17,zz4_H0_zz4_pair_0017,zz4_pair_0017,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
18,zz4_H0_zz4_pair_0018,zz4_pair_0018,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
19,zz4_H0_zz4_pair_0019,zz4_pair_0019,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
20,zz4_H0_zz4_pair_0020,zz4_pair_0020,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
21,zz4_H0_zz4_pair_0021,zz4_pair_0021,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
22,zz4_H0_zz4_pair_0022,zz4_pair_0022,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
23,zz4_H0_zz4_pair_0023,zz4_pair_0023,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
24,zz4_H0_zz4_pair_0024,zz4_pair_0024,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
25,zz4_H0_zz4_pair_0025,zz4_pair_0025,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
26,zz4_H0_zz4_pair_0026,zz4_pair_0026,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
27,zz4_H0_zz4_pair_0027,zz4_pair_0027,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
28,zz4_H0_zz4_pair_0028,zz4_pair_0028,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
29,zz4_H0_zz4_pair_0029,zz4_pair_0029,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
30,zz4_H0_zz4_pair_0030,zz4_pair_0030,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
31,zz4_H0_zz4_pair_0031,zz4_pair_0031,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
32,zz4_H0_zz4_pair_0032,zz4_pair_0032,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
33,zz4_H0_zz4_pair_0033,zz4_pair_0033,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
34,zz4_H0_zz4_pair_0034,zz4_pair_0034,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
35,zz4_H0_zz4_pair_0035,zz4_pair_0035,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
36,zz4_H0_zz4_pair_0036,zz4_pair_0036,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
37,zz4_H0_zz4_pair_0037,zz4_pair_0037,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
38,zz4_H0_zz4_pair_0038,zz4_pair_0038,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
39,zz4_H0_zz4_pair_0039,zz4_pair_0039,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
40,zz4_H0_zz4_pair_0040,zz4_pair_0040,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
41,zz4_H0_zz4_pair_0041,zz4_pair_0041,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
42,zz4_H0_zz4_pair_0042,zz4_pair_0042,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
43,zz4_H0_zz4_pair_0043,zz4_pair_0043,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
44,zz4_H0_zz4_pair_0044,zz4_pair_0044,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
45,zz4_H0_zz4_pair_0045,zz4_pair_0045,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
46,zz4_H0_zz4_pair_0046,zz4_pair_0046,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
47,zz4_H0_zz4_pair_0047,zz4_pair_0047,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
