regime_id,pub_order,circuit_inventory_id,pair_id,i,j,all_zero_key,all_zero_count,shots_observed,kernel_value_raw
H0,0,zz4_H0_zz4_pair_0000,zz4_pair_0000,0,0,0000,973,1024,0.9501953125
H0,1,zz4_H0_zz4_pair_0001,zz4_pair_0001,0,1,0000,24,1024,0.0234375
H0,2,zz4_H0_zz4_pair_0002,zz4_pair_0002,0,2,0000,25,1024,0.0244140625
H0,3,zz4_H0_zz4_pair_0003,zz4_pair_0003,0,3,0000,59,1024,0.0576171875
H0,4,zz4_H0_zz4_pair_0004,zz4_pair_0004,0,4,0000,60,1024,0.05859375
H0,5,zz4_H0_zz4_pair_0005,zz4_pair_0005,0,5,0000,41,1024,0.0400390625
H0,6,zz4_H0_zz4_pair_0006,zz4_pair_0006,0,6,0000,19,1024,0.0185546875
H0,7,zz4_H0_zz4_pair_0007,zz4_pair_0007,0,7,0000,40,1024,0.0390625
H0,8,zz4_H0_zz4_pair_0008,zz4_pair_0008,0,8,0000,58,1024,0.056640625
H0,9,zz4_H0_zz4_pair_0009,zz4_pair_0009,0,9,0000,34,1024,0.033203125
H0,10,zz4_H0_zz4_pair_0010,zz4_pair_0010,0,10,0000,19,1024,0.0185546875
H0,11,zz4_H0_zz4_pair_0011,zz4_pair_0011,0,11,0000,33,1024,0.0322265625
H0,12,zz4_H0_zz4_pair_0012,zz4_pair_0012,0,12,0000,56,1024,0.0546875
H0,13,zz4_H0_zz4_pair_0013,zz4_pair_0013,0,13,0000,36,1024,0.03515625
H0,14,zz4_H0_zz4_pair_0014,zz4_pair_0014,0,14,0000,139,1024,0.1357421875
H0,15,zz4_H0_zz4_pair_0015,zz4_pair_0015,0,15,0000,154,1024,0.150390625
H0,16,zz4_H0_zz4_pair_0016,zz4_pair_0016,0,16,0000,101,1024,0.0986328125
H0,17,zz4_H0_zz4_pair_0017,zz4_pair_0017,0,17,0000,8,1024,0.0078125
H0,18,zz4_H0_zz4_pair_0018,zz4_pair_0018,0,18,0000,17,1024,0.0166015625
H0,19,zz4_H0_zz4_pair_0019,zz4_pair_0019,0,19,0000,56,1024,0.0546875
H0,20,zz4_H0_zz4_pair_0020,zz4_pair_0020,0,20,0000,51,1024,0.0498046875
H0,21,zz4_H0_zz4_pair_0021,zz4_pair_0021,0,21,0000,10,1024,0.009765625
H0,22,zz4_H0_zz4_pair_0022,zz4_pair_0022,0,22,0000,20,1024,0.01953125
H0,23,zz4_H0_zz4_pair_0023,zz4_pair_0023,0,23,0000,104,1024,0.1015625
H0,24,zz4_H0_zz4_pair_0024,zz4_pair_0024,1,1,0000,962,1024,0.939453125
H0,25,zz4_H0_zz4_pair_0025,zz4_pair_0025,1,2,0000,58,1024,0.056640625
H0,26,zz4_H0_zz4_pair_0026,zz4_pair_0026,1,3,0000,14,1024,0.013671875
H0,27,zz4_H0_zz4_pair_0027,zz4_pair_0027,1,4,0000,131,1024,0.1279296875
H0,28,zz4_H0_zz4_pair_0028,zz4_pair_0028,1,5,0000,222,1024,0.216796875
H0,29,zz4_H0_zz4_pair_0029,zz4_pair_0029,1,6,0000,133,1024,0.1298828125
H0,30,zz4_H0_zz4_pair_0030,zz4_pair_0030,1,7,0000,116,1024,0.11328125
H0,31,zz4_H0_zz4_pair_0031,zz4_pair_0031,1,8,0000,82,1024,0.080078125
H0,32,zz4_H0_zz4_pair_0032,zz4_pair_0032,1,9,0000,122,1024,0.119140625
H0,33,zz4_H0_zz4_pair_0033,zz4_pair_0033,1,10,0000,148,1024,0.14453125
H0,34,zz4_H0_zz4_pair_0034,zz4_pair_0034,1,11,0000,79,1024,0.0771484375
H0,35,zz4_H0_zz4_pair_0035,zz4_pair_0035,1,12,0000,227,1024,0.2216796875
H0,36,zz4_H0_zz4_pair_0036,zz4_pair_0036,1,13,0000,84,1024,0.08203125
H0,37,zz4_H0_zz4_pair_0037,zz4_pair_0037,1,14,0000,27,1024,0.0263671875
H0,38,zz4_H0_zz4_pair_0038,zz4_pair_0038,1,15,0000,17,1024,0.0166015625
H0,39,zz4_H0_zz4_pair_0039,zz4_pair_0039,1,16,0000,144,1024,0.140625
H0,40,zz4_H0_zz4_pair_0040,zz4_pair_0040,1,17,0000,302,1024,0.294921875
H0,41,zz4_H0_zz4_pair_0041,zz4_pair_0041,1,18,0000,390,1024,0.380859375
H0,42,zz4_H0_zz4_pair_0042,zz4_pair_0042,1,19,0000,32,1024,0.03125
H0,43,zz4_H0_zz4_pair_0043,zz4_pair_0043,1,20,0000,151,1024,0.1474609375
H0,44,zz4_H0_zz4_pair_0044,zz4_pair_0044,1,21,0000,94,1024,0.091796875
H0,45,zz4_H0_zz4_pair_0045,zz4_pair_0045,1,22,0000,140,1024,0.13671875
H0,46,zz4_H0_zz4_pair_0046,zz4_pair_0046,1,23,0000,95,1024,0.0927734375
H0,47,zz4_H0_zz4_pair_0047,zz4_pair_0047,2,2,0000,957,1024,0.9345703125
H0,48,zz4_H0_zz4_pair_0048,zz4_pair_0048,2,3,0000,150,1024,0.146484375
H0,49,zz4_H0_zz4_pair_0049,zz4_pair_0049,2,4,0000,45,1024,0.0439453125
H0,50,zz4_H0_zz4_pair_0050,zz4_pair_0050,2,5,0000,4,1024,0.00390625
H0,51,zz4_H0_zz4_pair_0051,zz4_pair_0051,2,6,0000,350,1024,0.341796875
H0,52,zz4_H0_zz4_pair_0052,zz4_pair_0052,2,7,0000,78,1024,0.076171875
H0,53,zz4_H0_zz4_pair_0053,zz4_pair_0053,2,8,0000,16,1024,0.015625
H0,54,zz4_H0_zz4_pair_0054,zz4_pair_0054,2,9,0000,29,1024,0.0283203125
H0,55,zz4_H0_zz4_pair_0055,zz4_pair_0055,2,10,0000,386,1024,0.376953125
H0,56,zz4_H0_zz4_pair_0056,zz4_pair_0056,2,11,0000,68,1024,0.06640625
H0,57,zz4_H0_zz4_pair_0057,zz4_pair_0057,2,12,0000,64,1024,0.0625
H0,58,zz4_H0_zz4_pair_0058,zz4_pair_0058,2,13,0000,47,1024,0.0458984375
H0,59,zz4_H0_zz4_pair_0059,zz4_pair_0059,2,14,0000,54,1024,0.052734375
H0,60,zz4_H0_zz4_pair_0060,zz4_pair_0060,2,15,0000,14,1024,0.013671875
H0,61,zz4_H0_zz4_pair_0061,zz4_pair_0061,2,16,0000,56,1024,0.0546875
H0,62,zz4_H0_zz4_pair_0062,zz4_pair_0062,2,17,0000,32,1024,0.03125
H0,63,zz4_H0_zz4_pair_0063,zz4_pair_0063,2,18,0000,66,1024,0.064453125
H0,64,zz4_H0_zz4_pair_0064,zz4_pair_0064,2,19,0000,53,1024,0.0517578125
H0,65,zz4_H0_zz4_pair_0065,zz4_pair_0065,2,20,0000,83,1024,0.0810546875
H0,66,zz4_H0_zz4_pair_0066,zz4_pair_0066,2,21,0000,35,1024,0.0341796875
H0,67,zz4_H0_zz4_pair_0067,zz4_pair_0067,2,22,0000,320,1024,0.3125
H0,68,zz4_H0_zz4_pair_0068,zz4_pair_0068,2,23,0000,11,1024,0.0107421875
H0,69,zz4_H0_zz4_pair_0069,zz4_pair_0069,3,3,0000,962,1024,0.939453125
H0,70,zz4_H0_zz4_pair_0070,zz4_pair_0070,3,4,0000,19,1024,0.0185546875
H0,71,zz4_H0_zz4_pair_0071,zz4_pair_0071,3,5,0000,70,1024,0.068359375
H0,72,zz4_H0_zz4_pair_0072,zz4_pair_0072,3,6,0000,107,1024,0.1044921875
H0,73,zz4_H0_zz4_pair_0073,zz4_pair_0073,3,7,0000,41,1024,0.0400390625
H0,74,zz4_H0_zz4_pair_0074,zz4_pair_0074,3,8,0000,80,1024,0.078125
H0,75,zz4_H0_zz4_pair_0075,zz4_pair_0075,3,9,0000,50,1024,0.048828125
H0,76,zz4_H0_zz4_pair_0076,zz4_pair_0076,3,10,0000,59,1024,0.0576171875
H0,77,zz4_H0_zz4_pair_0077,zz4_pair_0077,3,11,0000,68,1024,0.06640625
H0,78,zz4_H0_zz4_pair_0078,zz4_pair_0078,3,12,0000,68,1024,0.06640625
H0,79,zz4_H0_zz4_pair_0079,zz4_pair_0079,3,13,0000,20,1024,0.01953125
H0,80,zz4_H0_zz4_pair_0080,zz4_pair_0080,3,14,0000,54,1024,0.052734375
H0,81,zz4_H0_zz4_pair_0081,zz4_pair_0081,3,15,0000,44,1024,0.04296875
H0,82,zz4_H0_zz4_pair_0082,zz4_pair_0082,3,16,0000,72,1024,0.0703125
H0,83,zz4_H0_zz4_pair_0083,zz4_pair_0083,3,17,0000,47,1024,0.0458984375
H0,84,zz4_H0_zz4_pair_0084,zz4_pair_0084,3,18,0000,37,1024,0.0361328125
H0,85,zz4_H0_zz4_pair_0085,zz4_pair_0085,3,19,0000,63,1024,0.0615234375
H0,86,zz4_H0_zz4_pair_0086,zz4_pair_0086,3,20,0000,16,1024,0.015625
H0,87,zz4_H0_zz4_pair_0087,zz4_pair_0087,3,21,0000,50,1024,0.048828125
H0,88,zz4_H0_zz4_pair_0088,zz4_pair_0088,3,22,0000,78,1024,0.076171875
H0,89,zz4_H0_zz4_pair_0089,zz4_pair_0089,3,23,0000,55,1024,0.0537109375
H0,90,zz4_H0_zz4_pair_0090,zz4_pair_0090,4,4,0000,964,1024,0.94140625
H0,91,zz4_H0_zz4_pair_0091,zz4_pair_0091,4,5,0000,30,1024,0.029296875
H0,92,zz4_H0_zz4_pair_0092,zz4_pair_0092,4,6,0000,69,1024,0.0673828125
H0,93,zz4_H0_zz4_pair_0093,zz4_pair_0093,4,7,0000,65,1024,0.0634765625
H0,94,zz4_H0_zz4_pair_0094,zz4_pair_0094,4,8,0000,43,1024,0.0419921875
H0,95,zz4_H0_zz4_pair_0095,zz4_pair_0095,4,9,0000,78,1024,0.076171875
H0,96,zz4_H0_zz4_pair_0096,zz4_pair_0096,4,10,0000,18,1024,0.017578125
H0,97,zz4_H0_zz4_pair_0097,zz4_pair_0097,4,11,0000,91,1024,0.0888671875
H0,98,zz4_H0_zz4_pair_0098,zz4_pair_0098,4,12,0000,114,1024,0.111328125
H0,99,zz4_H0_zz4_pair_0099,zz4_pair_0099,4,13,0000,157,1024,0.1533203125
H0,100,zz4_H0_zz4_pair_0100,zz4_pair_0100,4,14,0000,34,1024,0.033203125
H0,101,zz4_H0_zz4_pair_0101,zz4_pair_0101,4,15,0000,50,1024,0.048828125
H0,102,zz4_H0_zz4_pair_0102,zz4_pair_0102,4,16,0000,29,1024,0.0283203125
H0,103,zz4_H0_zz4_pair_0103,zz4_pair_0103,4,17,0000,125,1024,0.1220703125
H0,104,zz4_H0_zz4_pair_0104,zz4_pair_0104,4,18,0000,79,1024,0.0771484375
H0,105,zz4_H0_zz4_pair_0105,zz4_pair_0105,4,19,0000,144,1024,0.140625
H0,106,zz4_H0_zz4_pair_0106,zz4_pair_0106,4,20,0000,399,1024,0.3896484375
H0,107,zz4_H0_zz4_pair_0107,zz4_pair_0107,4,21,0000,141,1024,0.1376953125
H0,108,zz4_H0_zz4_pair_0108,zz4_pair_0108,4,22,0000,20,1024,0.01953125
H0,109,zz4_H0_zz4_pair_0109,zz4_pair_0109,4,23,0000,19,1024,0.0185546875
H0,110,zz4_H0_zz4_pair_0110,zz4_pair_0110,5,5,0000,957,1024,0.9345703125
