regime_id,pub_order,circuit_index_i,raw_metadata_i,circuit_index_j,raw_metadata_j,circuit_index_pair_id,raw_metadata_pair_id,match
H0,0,0,0,0,0,zz4_pair_0000,zz4_pair_0000,True
H0,1,0,0,1,1,zz4_pair_0001,zz4_pair_0001,True
H0,2,0,0,2,2,zz4_pair_0002,zz4_pair_0002,True
H0,3,0,0,3,3,zz4_pair_0003,zz4_pair_0003,True
H0,4,0,0,4,4,zz4_pair_0004,zz4_pair_0004,True
H0,5,0,0,5,5,zz4_pair_0005,zz4_pair_0005,True
H0,6,0,0,6,6,zz4_pair_0006,zz4_pair_0006,True
H0,7,0,0,7,7,zz4_pair_0007,zz4_pair_0007,True
H0,8,0,0,8,8,zz4_pair_0008,zz4_pair_0008,True
H0,9,0,0,9,9,zz4_pair_0009,zz4_pair_0009,True
H0,10,0,0,10,10,zz4_pair_0010,zz4_pair_0010,True
H0,11,0,0,11,11,zz4_pair_0011,zz4_pair_0011,True
H0,12,0,0,12,12,zz4_pair_0012,zz4_pair_0012,True
H0,13,0,0,13,13,zz4_pair_0013,zz4_pair_0013,True
H0,14,0,0,14,14,zz4_pair_0014,zz4_pair_0014,True
H0,15,0,0,15,15,zz4_pair_0015,zz4_pair_0015,True
H0,16,0,0,16,16,zz4_pair_0016,zz4_pair_0016,True
H0,17,0,0,17,17,zz4_pair_0017,zz4_pair_0017,True
H0,18,0,0,18,18,zz4_pair_0018,zz4_pair_0018,True
H0,19,0,0,19,19,zz4_pair_0019,zz4_pair_0019,True
H0,20,0,0,20,20,zz4_pair_0020,zz4_pair_0020,True
H0,21,0,0,21,21,zz4_pair_0021,zz4_pair_0021,True
H0,22,0,0,22,22,zz4_pair_0022,zz4_pair_0022,True
H0,23,0,0,23,23,zz4_pair_0023,zz4_pair_0023,True
H0,24,1,1,1,1,zz4_pair_0024,zz4_pair_0024,True
H0,25,1,1,2,2,zz4_pair_0025,zz4_pair_0025,True
H0,26,1,1,3,3,zz4_pair_0026,zz4_pair_0026,True
H0,27,1,1,4,4,zz4_pair_0027,zz4_pair_0027,True
H0,28,1,1,5,5,zz4_pair_0028,zz4_pair_0028,True
H0,29,1,1,6,6,zz4_pair_0029,zz4_pair_0029,True
H0,30,1,1,7,7,zz4_pair_0030,zz4_pair_0030,True
H0,31,1,1,8,8,zz4_pair_0031,zz4_pair_0031,True
H0,32,1,1,9,9,zz4_pair_0032,zz4_pair_0032,True
H0,33,1,1,10,10,zz4_pair_0033,zz4_pair_0033,True
H0,34,1,1,11,11,zz4_pair_0034,zz4_pair_0034,True
H0,35,1,1,12,12,zz4_pair_0035,zz4_pair_0035,True
H0,36,1,1,13,13,zz4_pair_0036,zz4_pair_0036,True
H0,37,1,1,14,14,zz4_pair_0037,zz4_pair_0037,True
H0,38,1,1,15,15,zz4_pair_0038,zz4_pair_0038,True
H0,39,1,1,16,16,zz4_pair_0039,zz4_pair_0039,True
H0,40,1,1,17,17,zz4_pair_0040,zz4_pair_0040,True
H0,41,1,1,18,18,zz4_pair_0041,zz4_pair_0041,True
H0,42,1,1,19,19,zz4_pair_0042,zz4_pair_0042,True
H0,43,1,1,20,20,zz4_pair_0043,zz4_pair_0043,True
H0,44,1,1,21,21,zz4_pair_0044,zz4_pair_0044,True
H0,45,1,1,22,22,zz4_pair_0045,zz4_pair_0045,True
H0,46,1,1,23,23,zz4_pair_0046,zz4_pair_0046,True
H0,47,2,2,2,2,zz4_pair_0047,zz4_pair_0047,True
H0,48,2,2,3,3,zz4_pair_0048,zz4_pair_0048,True
H0,49,2,2,4,4,zz4_pair_0049,zz4_pair_0049,True
H0,50,2,2,5,5,zz4_pair_0050,zz4_pair_0050,True
H0,51,2,2,6,6,zz4_pair_0051,zz4_pair_0051,True
H0,52,2,2,7,7,zz4_pair_0052,zz4_pair_0052,True
H0,53,2,2,8,8,zz4_pair_0053,zz4_pair_0053,True
H0,54,2,2,9,9,zz4_pair_0054,zz4_pair_0054,True
H0,55,2,2,10,10,zz4_pair_0055,zz4_pair_0055,True
H0,56,2,2,11,11,zz4_pair_0056,zz4_pair_0056,True
H0,57,2,2,12,12,zz4_pair_0057,zz4_pair_0057,True
H0,58,2,2,13,13,zz4_pair_0058,zz4_pair_0058,True
H0,59,2,2,14,14,zz4_pair_0059,zz4_pair_0059,True
H0,60,2,2,15,15,zz4_pair_0060,zz4_pair_0060,True
H0,61,2,2,16,16,zz4_pair_0061,zz4_pair_0061,True
H0,62,2,2,17,17,zz4_pair_0062,zz4_pair_0062,True
H0,63,2,2,18,18,zz4_pair_0063,zz4_pair_0063,True
H0,64,2,2,19,19,zz4_pair_0064,zz4_pair_0064,True
H0,65,2,2,20,20,zz4_pair_0065,zz4_pair_0065,True
H0,66,2,2,21,21,zz4_pair_0066,zz4_pair_0066,True
H0,67,2,2,22,22,zz4_pair_0067,zz4_pair_0067,True
H0,68,2,2,23,23,zz4_pair_0068,zz4_pair_0068,True
H0,69,3,3,3,3,zz4_pair_0069,zz4_pair_0069,True
H0,70,3,3,4,4,zz4_pair_0070,zz4_pair_0070,True
H0,71,3,3,5,5,zz4_pair_0071,zz4_pair_0071,True
H0,72,3,3,6,6,zz4_pair_0072,zz4_pair_0072,True
H0,73,3,3,7,7,zz4_pair_0073,zz4_pair_0073,True
H0,74,3,3,8,8,zz4_pair_0074,zz4_pair_0074,True
H0,75,3,3,9,9,zz4_pair_0075,zz4_pair_0075,True
H0,76,3,3,10,10,zz4_pair_0076,zz4_pair_0076,True
H0,77,3,3,11,11,zz4_pair_0077,zz4_pair_0077,True
H0,78,3,3,12,12,zz4_pair_0078,zz4_pair_0078,True
H0,79,3,3,13,13,zz4_pair_0079,zz4_pair_0079,True
H0,80,3,3,14,14,zz4_pair_0080,zz4_pair_0080,True
H0,81,3,3,15,15,zz4_pair_0081,zz4_pair_0081,True
H0,82,3,3,16,16,zz4_pair_0082,zz4_pair_0082,True
H0,83,3,3,17,17,zz4_pair_0083,zz4_pair_0083,True
H0,84,3,3,18,18,zz4_pair_0084,zz4_pair_0084,True
H0,85,3,3,19,19,zz4_pair_0085,zz4_pair_0085,True
H0,86,3,3,20,20,zz4_pair_0086,zz4_pair_0086,True
H0,87,3,3,21,21,zz4_pair_0087,zz4_pair_0087,True
H0,88,3,3,22,22,zz4_pair_0088,zz4_pair_0088,True
H0,89,3,3,23,23,zz4_pair_0089,zz4_pair_0089,True
H0,90,4,4,4,4,zz4_pair_0090,zz4_pair_0090,True
H0,91,4,4,5,5,zz4_pair_0091,zz4_pair_0091,True
H0,92,4,4,6,6,zz4_pair_0092,zz4_pair_0092,True
H0,93,4,4,7,7,zz4_pair_0093,zz4_pair_0093,True
H0,94,4,4,8,8,zz4_pair_0094,zz4_pair_0094,True
H0,95,4,4,9,9,zz4_pair_0095,zz4_pair_0095,True
H0,96,4,4,10,10,zz4_pair_0096,zz4_pair_0096,True
H0,97,4,4,11,11,zz4_pair_0097,zz4_pair_0097,True
H0,98,4,4,12,12,zz4_pair_0098,zz4_pair_0098,True
H0,99,4,4,13,13,zz4_pair_0099,zz4_pair_0099,True
H0,100,4,4,14,14,zz4_pair_0100,zz4_pair_0100,True
H0,101,4,4,15,15,zz4_pair_0101,zz4_pair_0101,True
H0,102,4,4,16,16,zz4_pair_0102,zz4_pair_0102,True
H0,103,4,4,17,17,zz4_pair_0103,zz4_pair_0103,True
H0,104,4,4,18,18,zz4_pair_0104,zz4_pair_0104,True
H0,105,4,4,19,19,zz4_pair_0105,zz4_pair_0105,True
H0,106,4,4,20,20,zz4_pair_0106,zz4_pair_0106,True
H0,107,4,4,21,21,zz4_pair_0107,zz4_pair_0107,True
H0,108,4,4,22,22,zz4_pair_0108,zz4_pair_0108,True
H0,109,4,4,23,23,zz4_pair_0109,zz4_pair_0109,True
H0,110,5,5,5,5,zz4_pair_0110,zz4_pair_0110,True
H0,111,5,5,6,6,zz4_pair_0111,zz4_pair_0111,True
H0,112,5,5,7,7,zz4_pair_0112,zz4_pair_0112,True
H0,113,5,5,8,8,zz4_pair_0113,zz4_pair_0113,True
H0,114,5,5,9,9,zz4_pair_0114,zz4_pair_0114,True
H0,115,5,5,10,10,zz4_pair_0115,zz4_pair_0115,True
H0,116,5,5,11,11,zz4_pair_0116,zz4_pair_0116,True
H0,117,5,5,12,12,zz4_pair_0117,zz4_pair_0117,True
H0,118,5,5,13,13,zz4_pair_0118,zz4_pair_0118,True
H0,119,5,5,14,14,zz4_pair_0119,zz4_pair_0119,True
H0,120,5,5,15,15,zz4_pair_0120,zz4_pair_0120,True
H0,121,5,5,16,16,zz4_pair_0121,zz4_pair_0121,True
H0,122,5,5,17,17,zz4_pair_0122,zz4_pair_0122,True
H0,123,5,5,18,18,zz4_pair_0123,zz4_pair_0123,True
H0,124,5,5,19,19,zz4_pair_0124,zz4_pair_0124,True
H0,125,5,5,20,20,zz4_pair_0125,zz4_pair_0125,True
H0,126,5,5,21,21,zz4_pair_0126,zz4_pair_0126,True
H0,127,5,5,22,22,zz4_pair_0127,zz4_pair_0127,True
H0,128,5,5,23,23,zz4_pair_0128,zz4_pair_0128,True
H0,129,6,6,6,6,zz4_pair_0129,zz4_pair_0129,True
H0,130,6,6,7,7,zz4_pair_0130,zz4_pair_0130,True
H0,131,6,6,8,8,zz4_pair_0131,zz4_pair_0131,True
H0,132,6,6,9,9,zz4_pair_0132,zz4_pair_0132,True
H0,133,6,6,10,10,zz4_pair_0133,zz4_pair_0133,True
H0,134,6,6,11,11,zz4_pair_0134,zz4_pair_0134,True
H0,135,6,6,12,12,zz4_pair_0135,zz4_pair_0135,True
H0,136,6,6,13,13,zz4_pair_0136,zz4_pair_0136,True
H0,137,6,6,14,14,zz4_pair_0137,zz4_pair_0137,True
H0,138,6,6,15,15,zz4_pair_0138,zz4_pair_0138,True
H0,139,6,6,16,16,zz4_pair_0139,zz4_pair_0139,True
H0,140,6,6,17,17,zz4_pair_0140,zz4_pair_0140,True
H0,141,6,6,18,18,zz4_pair_0141,zz4_pair_0141,True
H0,142,6,6,19,19,zz4_pair_0142,zz4_pair_0142,True
H0,143,6,6,20,20,zz4_pair_0143,zz4_pair_0143,True
H0,144,6,6,21,21,zz4_pair_0144,zz4_pair_0144,True
H0,145,6,6,22,22,zz4_pair_0145,zz4_pair_0145,True
H0,146,6,6,23,23,zz4_pair_0146,zz4_pair_0146,True
H0,147,7,7,7,7,zz4_pair_0147,zz4_pair_0147,True
H0,148,7,7,8,8,zz4_pair_0148,zz4_pair_0148,True
H0,149,7,7,9,9,zz4_pair_0149,zz4_pair_0149,True
H0,150,7,7,10,10,zz4_pair_0150,zz4_pair_0150,True
H0,151,7,7,11,11,zz4_pair_0151,zz4_pair_0151,True
H0,152,7,7,12,12,zz4_pair_0152,zz4_pair_0152,True
H0,153,7,7,13,13,zz4_pair_0153,zz4_pair_0153,True
H0,154,7,7,14,14,zz4_pair_0154,zz4_pair_0154,True
H0,155,7,7,15,15,zz4_pair_0155,zz4_pair_0155,True
H0,156,7,7,16,16,zz4_pair_0156,zz4_pair_0156,True
H0,157,7,7,17,17,zz4_pair_0157,zz4_pair_0157,True
H0,158,7,7,18,18,zz4_pair_0158,zz4_pair_0158,True
H0,159,7,7,19,19,zz4_pair_0159,zz4_pair_0159,True
H0,160,7,7,20,20,zz4_pair_0160,zz4_pair_0160,True
H0,161,7,7,21,21,zz4_pair_0161,zz4_pair_0161,True
H0,162,7,7,22,22,zz4_pair_0162,zz4_pair_0162,True
H0,163,7,7,23,23,zz4_pair_0163,zz4_pair_0163,True
H0,164,8,8,8,8,zz4_pair_0164,zz4_pair_0164,True
H0,165,8,8,9,9,zz4_pair_0165,zz4_pair_0165,True
H0,166,8,8,10,10,zz4_pair_0166,zz4_pair_0166,True
H0,167,8,8,11,11,zz4_pair_0167,zz4_pair_0167,True
H0,168,8,8,12,12,zz4_pair_0168,zz4_pair_0168,True
H0,169,8,8,13,13,zz4_pair_0169,zz4_pair_0169,True
