circuit_id,pair_id,regime_id,regime_label,selected_backend,feature_set,kernel_name,feature_map_label,logical_qubits,expected_active_qubits,primitive,shots_planned,kernel_i,kernel_j,pair_type,measurement_policy,circuit_family,circuit_serialization_status,circuit_artifact_path,circuit_sha256,runtime_options_policy,submission_job_id,session_id,notes
zz4_H0_zz4_pair_0000,zz4_pair_0000,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,0,diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0001,zz4_pair_0001,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,1,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0002,zz4_pair_0002,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,2,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0003,zz4_pair_0003,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,3,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0004,zz4_pair_0004,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,4,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0005,zz4_pair_0005,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,5,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0006,zz4_pair_0006,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,6,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0007,zz4_pair_0007,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,7,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0008,zz4_pair_0008,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,8,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0009,zz4_pair_0009,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,9,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
zz4_H0_zz4_pair_0010,zz4_pair_0010,H0,sampler_unmitigated_baseline,ibm_fez,F_quantum_4,zz4,ZZ4,4,4,Sampler,4096,0,10,off_diagonal,all_qubits_all_zero_probability_for_compute_uncompute_fidelity,ZZ4_compute_uncompute_kernel_pair_circuit,inventory_only_not_submitted,,,No mitigation beyond default primitive behavior; record all default options.,,,Populate circuit_artifact_path/circuit_sha256/job_id after actual circuit build/submission.
