pair_id,pair_order,pair_mode,kernel_i,kernel_j,sample_i_id,sample_j_id,sample_i_split,sample_j_split,sample_i_target,sample_j_target,pair_type,split_pair,target_pair,expected_symmetry_mirror,include_in_wave1_full_kernel,sentinel_pair,notes
zz4_pair_0000,0,upper_triangle_including_diagonal,0,0,03e42d1f15d8234c,03e42d1f15d8234c,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0001,1,upper_triangle_including_diagonal,0,1,03e42d1f15d8234c,7bf1852bcd51a5df,,,,,off_diagonal,,,true,true,false,
zz4_pair_0002,2,upper_triangle_including_diagonal,0,2,03e42d1f15d8234c,634801d7e3c839d3,,,,,off_diagonal,,,true,true,false,
zz4_pair_0003,3,upper_triangle_including_diagonal,0,3,03e42d1f15d8234c,3bcb72be19f6891f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0004,4,upper_triangle_including_diagonal,0,4,03e42d1f15d8234c,35e7dd29fccb3b7f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0005,5,upper_triangle_including_diagonal,0,5,03e42d1f15d8234c,2e9466b16a3fda6e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0006,6,upper_triangle_including_diagonal,0,6,03e42d1f15d8234c,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0007,7,upper_triangle_including_diagonal,0,7,03e42d1f15d8234c,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0008,8,upper_triangle_including_diagonal,0,8,03e42d1f15d8234c,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0009,9,upper_triangle_including_diagonal,0,9,03e42d1f15d8234c,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0010,10,upper_triangle_including_diagonal,0,10,03e42d1f15d8234c,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0011,11,upper_triangle_including_diagonal,0,11,03e42d1f15d8234c,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0012,12,upper_triangle_including_diagonal,0,12,03e42d1f15d8234c,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0013,13,upper_triangle_including_diagonal,0,13,03e42d1f15d8234c,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0014,14,upper_triangle_including_diagonal,0,14,03e42d1f15d8234c,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0015,15,upper_triangle_including_diagonal,0,15,03e42d1f15d8234c,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0016,16,upper_triangle_including_diagonal,0,16,03e42d1f15d8234c,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0017,17,upper_triangle_including_diagonal,0,17,03e42d1f15d8234c,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0018,18,upper_triangle_including_diagonal,0,18,03e42d1f15d8234c,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0019,19,upper_triangle_including_diagonal,0,19,03e42d1f15d8234c,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0020,20,upper_triangle_including_diagonal,0,20,03e42d1f15d8234c,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0021,21,upper_triangle_including_diagonal,0,21,03e42d1f15d8234c,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0022,22,upper_triangle_including_diagonal,0,22,03e42d1f15d8234c,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0023,23,upper_triangle_including_diagonal,0,23,03e42d1f15d8234c,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0024,24,upper_triangle_including_diagonal,1,1,7bf1852bcd51a5df,7bf1852bcd51a5df,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0025,25,upper_triangle_including_diagonal,1,2,7bf1852bcd51a5df,634801d7e3c839d3,,,,,off_diagonal,,,true,true,false,
zz4_pair_0026,26,upper_triangle_including_diagonal,1,3,7bf1852bcd51a5df,3bcb72be19f6891f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0027,27,upper_triangle_including_diagonal,1,4,7bf1852bcd51a5df,35e7dd29fccb3b7f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0028,28,upper_triangle_including_diagonal,1,5,7bf1852bcd51a5df,2e9466b16a3fda6e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0029,29,upper_triangle_including_diagonal,1,6,7bf1852bcd51a5df,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0030,30,upper_triangle_including_diagonal,1,7,7bf1852bcd51a5df,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0031,31,upper_triangle_including_diagonal,1,8,7bf1852bcd51a5df,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0032,32,upper_triangle_including_diagonal,1,9,7bf1852bcd51a5df,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0033,33,upper_triangle_including_diagonal,1,10,7bf1852bcd51a5df,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0034,34,upper_triangle_including_diagonal,1,11,7bf1852bcd51a5df,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0035,35,upper_triangle_including_diagonal,1,12,7bf1852bcd51a5df,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0036,36,upper_triangle_including_diagonal,1,13,7bf1852bcd51a5df,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0037,37,upper_triangle_including_diagonal,1,14,7bf1852bcd51a5df,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0038,38,upper_triangle_including_diagonal,1,15,7bf1852bcd51a5df,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0039,39,upper_triangle_including_diagonal,1,16,7bf1852bcd51a5df,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0040,40,upper_triangle_including_diagonal,1,17,7bf1852bcd51a5df,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0041,41,upper_triangle_including_diagonal,1,18,7bf1852bcd51a5df,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0042,42,upper_triangle_including_diagonal,1,19,7bf1852bcd51a5df,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0043,43,upper_triangle_including_diagonal,1,20,7bf1852bcd51a5df,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0044,44,upper_triangle_including_diagonal,1,21,7bf1852bcd51a5df,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0045,45,upper_triangle_including_diagonal,1,22,7bf1852bcd51a5df,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0046,46,upper_triangle_including_diagonal,1,23,7bf1852bcd51a5df,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0047,47,upper_triangle_including_diagonal,2,2,634801d7e3c839d3,634801d7e3c839d3,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0048,48,upper_triangle_including_diagonal,2,3,634801d7e3c839d3,3bcb72be19f6891f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0049,49,upper_triangle_including_diagonal,2,4,634801d7e3c839d3,35e7dd29fccb3b7f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0050,50,upper_triangle_including_diagonal,2,5,634801d7e3c839d3,2e9466b16a3fda6e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0051,51,upper_triangle_including_diagonal,2,6,634801d7e3c839d3,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0052,52,upper_triangle_including_diagonal,2,7,634801d7e3c839d3,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0053,53,upper_triangle_including_diagonal,2,8,634801d7e3c839d3,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0054,54,upper_triangle_including_diagonal,2,9,634801d7e3c839d3,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0055,55,upper_triangle_including_diagonal,2,10,634801d7e3c839d3,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0056,56,upper_triangle_including_diagonal,2,11,634801d7e3c839d3,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0057,57,upper_triangle_including_diagonal,2,12,634801d7e3c839d3,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
